ticker,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,priceToBook,revenueGrowth,earningsGrowth,grossMargins,profitMargins,returnOnAssets,returnOnEquity,currentRatio,debtToEquity,freeCashflow,ebitda
GPC,19946158080,16.589802,14.1193285,0.8613564,4.3937397,0.008,-0.135,0.36264,0.052360002,0.06179,0.28061,1.118,114.111,647928000.0,2132557952.0
GILD,107965530112,105.7561,11.977901,3.882954,5.9105783,0.054,0.554,0.77443004,0.03791,0.11545,0.05263,1.142,128.318,6791249920.0,13461999616.0
GPN,26031448064,18.772478,7.949495,2.6298487,1.162389,0.047,0.4,0.62836,0.14257,0.03039,0.06343,0.916,78.524,1955829376.0,4242999040.0
GL,9855028224,9.920434,8.280755,1.7423427,1.8898019,0.086,0.261,0.3171,0.18466,0.03199,0.22686,0.52,49.505,1411051904.0,1428763008.0
HAL,25010544640,9.411961,8.259475,1.0789709,2.5015452,0.006,0.182,0.19223,0.11613,0.10446999,0.28903,2.13,86.88,1883000064.0,5160000000.0
HIG,35747708928,12.842105,10.562771,1.4019809,2.3372095,0.072,0.41,0.34877,0.11424,0.031070001,0.19529,1.901,27.825,3773625088.0,4156000000.0
DOC,15828370432,47.166668,83.851845,6.562454,1.8104757,0.275,1.305,0.59389,0.11936,0.015859999,0.03723,2.356,94.667,712347776.0,1305757056.0
HSIC,9172391936,26.712177,13.710227,0.7345553,2.6194096,0.012,-0.245,0.31633,0.02819,0.03886,0.07253,1.546,56.715,449375008.0,887000000.0
HSY,37560836096,20.585363,20.226578,3.4101799,9.366425,-0.167,-0.551,0.45426998,0.1676,0.13474,0.47917998,0.858,143.695,887561728.0,3018906880.0
HES,42957393920,16.2305,15.304062,3.5560756,4.0826964,0.399,5.326,0.76523,0.21903999,0.11472,0.30075002,1.269,88.242,152124992.0,6705999872.0
HPE,26869481472,14.673759,9.852382,0.9258953,1.2167726,0.101,0.086,0.33877,0.06392,0.02484,0.086660005,0.939,53.696,1913250048.0,4909000192.0
HD,412216590336,27.85235,26.636713,2.7103643,93.23747,0.006,-0.011,0.33595002,0.09713,0.1527,5.13362,1.148,1479.819,12154999808.0,24578000896.0
HON,144239951872,25.31585,19.91211,3.863501,8.511079,0.047,0.063,0.37564,0.15493,0.07442,0.32740003,1.206,165.725,5081625088.0,9048000512.0
HRL,17651836928,22.510489,19.047337,1.4733455,2.2436745,-0.022,0.075,0.16860001,0.065170005,0.05164,0.10005,2.289,36.305,702241472.0,1353831040.0
HST,25404702720,16.764153,17.949495,4.6367407,1.8315812,0.051,0.17,0.29257,0.13689,0.03825,0.10767999,4.239,70.94,1078499968.0,1486000000.0
HWM,43075833856,46.906666,33.826923,6.073006,10.196116,0.141,0.413,0.29395,0.13154,0.08327,0.23174,1.528,89.245,731124992.0,1664999936.0
HUBB,24521971712,33.78772,25.793903,4.3999805,8.033095,0.063,0.031,0.3425,0.13143,0.104329996,0.25931,1.807,70.146,566562496.0,1226800000.0
HUM,32164192256,18.799438,13.512393,0.287088,1.9293381,0.104,-0.265,0.15483,0.015269999,0.04567,0.10155,1.66,79.328,-9923749888.0,4262000128.0
HII,10255950848,13.889007,13.911171,0.87099373,2.457573,0.068,0.341,0.14556,0.06352,0.046630003,0.19121,0.817,68.956,258375008.0,1160000000.0
IBM,213890564096,25.629137,21.660446,3.4297671,8.90235,0.019,0.141,0.56093,0.13518,0.04695,0.36244,1.123,248.264,8235749888.0,14625000448.0
IEX,15937837056,27.556284,24.710093,4.9961867,4.3732862,-0.046,0.022,0.44347998,0.18194,0.07596,0.16726999,3.413,36.161,597687488.0,865400000.0
IDXX,37674704896,45.45581,37.36653,9.95421,23.890396,0.064,-0.086,0.60409,0.22343001,0.22767,0.63246,1.369,67.576,816008256.0,1265662976.0
ITW,77499809792,25.56611,24.259293,4.8395033,26.17367,-0.012,0.024,0.43562,0.19152,0.17095,1.01288,1.302,286.057,2567500032.0,4663000064.0
IR,40509792256,49.702972,27.734808,5.7577486,4.0708756,0.07,0.023,0.43493998,0.1173,0.05185,0.085319996,2.178,47.942,1029887488.0,1830700032.0
PODD,16588626944,42.705776,62.097115,8.858133,16.614466,0.232,5.639,0.68388003,0.21109,0.06846,0.50931,3.598,143.54,68862496.0,364000000.0
ICE,95784116224,41.294556,24.319242,10.87097,3.5820415,0.227,-0.225,1.0,0.26251,0.01906,0.09365,0.995,82.748,7447374848.0,5344000000.0
IP,16250389504,35.709923,17.261992,0.87522966,1.8902538,0.011,1.081,0.27958,0.02343,0.026770001,0.05436,1.594,70.25,789875008.0,2070000000.0
