ticker,marketCap,priceToSalesTrailing12Months,priceToBook,trailingPE,forwardPE,pegRatio,enterpriseValue,totalRevenue,ebitda,netIncomeToCommon,freeCashflow,operatingCashflow,revenueGrowth,earningsGrowth,earningsQuarterlyGrowth,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,debtToEquity,currentRatio,quickRatio,currentPrice,fiftyTwoWeekLow,fiftyTwoWeekHigh,sharesOutstanding,floatShares,shortRatio,shortPercentOfFloat,totalCash,totalDebt,totalCashPerShare,revenuePerShare,recommendationKey,targetMeanPrice,targetHighPrice,targetLowPrice,numberOfAnalystOpinions,auditRisk,boardRisk,compensationRisk,overallRisk,beta,volume,averageVolume,sharesShort,sharesShortPriorMonth,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,financialCurrency
GOOGL,2020802691072,6.1556535,6.6953454,23.412607,18.805525,1.03,1939694157824.0,328284012544,115478003712.0,87656996864,43988500480.0,105059000320.0,0.136,0.314,0.286,0.57639,0.35176,0.32362998,0.15961,0.30871,9.549,2.079,1.897,163.42,120.21,191.75,5858999808,10983843700.0,2.69,0.0121,100724998144.0,28718999552.0,8.182,26.353,buy,200.2,234.59,170.0,49.0,9.0,8.0,10.0,10.0,1.038,19738040,25523798,71086657,72054342.0,5.909,16.797,0.1936264,0.38520622,USD
AMZN,1983563431936,3.2822304,8.384649,44.997623,32.5284,1.25,2052307156992.0,604333998080,104049000448.0,44418998272,59191001088.0,107951996928.0,0.101,0.938,0.998,0.48043,0.17216998,0.09915,0.06584,0.21933001,66.756,1.096,0.84,188.99,118.35,201.2,10495599616,9360261411.0,2.41,0.0099,89091997696.0,157841997824.0,8.489,58.221,buy,218.9,265.0,180.0,59.0,5.0,9.0,10.0,9.0,1.147,37345638,38669431,92617939,81267520.0,3.396,19.724,0.48174775,0.38520622,USD
XOM,533184020480,1.5448564,1.9864931,14.355264,14.476478,9.73,557770604544.0,345134989312,70902996992.0,34160001024,29004249088.0,54869000192.0,0.12,0.104,0.173,0.31614,0.20544,0.13351,0.07355,0.1469,15.632,1.36,0.983,120.01,95.77,126.34,4442829824,4434918349.0,2.44,0.0087,26460000256.0,43185999872.0,5.956,84.406,buy,130.75,149.0,105.0,26.0,10.0,8.0,9.0,7.0,0.877,12827832,14129847,38837390,44138745.0,1.616,7.867,0.09958887,0.38520622,USD
META,1458365267968,9.736456,9.31473,29.502045,23.625818,1.99,1438274420736.0,149784002560,74774003712.0,51434000384,32011874304.0,78421999616.0,0.221,0.732,0.729,0.81491,0.49921,0.38105,0.17661,0.35375,24.235,2.83,2.688,576.47,279.4,602.95,2184730112,2180271972.0,2.67,0.0149,58080002048.0,37990998016.0,22.958,58.612,buy,601.58,811.0,260.0,60.0,9.0,10.0,10.0,10.0,1.216,7664323,13007287,32456739,33250771.0,9.602,19.235,0.83729815,0.38520622,USD
TSLA,705056997376,7.3968925,10.605478,62.169014,72.83828,63.6,687647162368.0,95317999616,12177999872.0,12389999616,-907249984.0,11532000256.0,0.023,-0.462,-0.453,0.17719999,0.12776,0.0858,0.044159997,0.20861,18.606,1.911,1.249,220.7,138.8,271.0,3194639872,2777644002.0,0.93,0.026700001,30720000000.0,12515000320.0,9.616,29.932,hold,210.27,310.0,24.86,45.0,7.0,9.0,10.0,10.0,2.297,49126022,81237500,74332630,78698016.0,7.214,56.466,0.04154098,0.38520622,USD
UNH,525988102144,1.3353409,5.3036804,37.03576,18.805216,1.75,575187320832.0,393898000384,35035000832.0,14316999680,-2398249984.0,16641999872.0,0.092,0.043,0.037,0.22872,0.08894,0.08637,0.06924,0.15252,74.683,0.908,0.563,569.61,436.38,608.63,923417984,927470400.0,2.58,0.0085,37134000128.0,78009999360.0,39.929,427.917,buy,622.64,677.0,551.12,26.0,6.0,6.0,2.0,2.0,0.593,3685858,3117330,7861303,7821716.0,1.46,16.418,0.08524263,0.38520622,USD
WMT,653590069248,0.98279047,7.7386503,42.348957,29.893381,3.25,714274177024.0,665035014144,40779001856.0,15552000000,7701374976.0,33881999360.0,0.048,-0.423,-0.43,0.24628,0.06132,0.04689,0.069510005,0.18531999,69.566,0.803,0.183,81.31,49.84667,81.82,8038249984,4355687164.0,1.71,0.0072000003,8810999808.0,63146000384.0,1.096,82.505,buy,84.71,98.0,76.0,35.0,8.0,8.0,6.0,3.0,0.516,9598132,16567117,31120121,42742494.0,1.074,17.516,0.5071734,0.38520622,USD
